OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
3114,37,119,003106,2,371190031062,Block Group 2,"Block Group 2, Census Tract 31.06, Mecklenburg County, North Carolina",1463,705,713,0.0112202,0.79037801,1040,262,4,114,0,14,29,118,705,0,298,589,535,41,267,258,123,46,11,0,0,0.34645256,4222.80037417,847,360,32.2,9658504.38385488,15815.5621925334
3115,37,119,006406,1,371190064061,Block Group 1,"Block Group 1, Census Tract 64.06, Mecklenburg County, North Carolina",1781,722,862,0.16241299,0.61,1003,313,0,41,0,127,297,653,722,0,592,500,488,201,272,236,43,101,70,0,0,0.6424039,2772.39910903,1865,-56,27.6,17909121.2122057,19456.6006296736
3116,37,119,005618,1,371190056181,Block Group 1,"Block Group 1, Census Tract 56.18, Mecklenburg County, North Carolina",1853,667,667,0,0.91860465,1484,349,0,10,0,0,10,278,667,0,354,314,841,344,106,335,87,64,45,8,22,2.14367417,864.40375405,1635,471,46.3,59761966.8398305,30890.0816061355
3117,37,119,005837,4,371190058374,Block Group 4,"Block Group 4, Census Tract 58.37, Mecklenburg County, North Carolina",2206,858,911,0.05817783,0.81357759,1524,330,0,316,0,20,16,106,858,0,518,248,946,494,262,288,136,89,43,40,0,0.64108404,3441.0465124,1880,643,45.6,17872325.715177,18765.6543583054
3118,37,119,003203,2,371190032032,Block Group 2,"Block Group 2, Census Tract 32.03, Mecklenburg County, North Carolina",860,411,475,0.13473684,0.65365854,675,108,0,9,0,57,11,84,411,0,217,328,286,29,199,111,54,39,0,8,0,0.1804811,4765.04187973,744,194,29.8,5031504.1454998,13234.0566620241
3119,37,119,005514,3,371190055143,Block Group 3,"Block Group 3, Census Tract 55.14, Mecklenburg County, North Carolina",2669,1234,1256,0.01751592,0.5909894,1453,823,0,104,0,262,27,423,1234,0,417,382,1255,615,472,449,168,85,60,0,0,0.802304,3326.66919272,2619,-543,45,22366862.2894809,27531.0772570415
3120,37,119,005714,1,371190057141,Block Group 1,"Block Group 1, Census Tract 57.14, Mecklenburg County, North Carolina",2414,832,839,0.00834327,0.93478261,1741,491,86,96,0,0,0,44,832,0,544,418,1072,380,77,312,274,104,65,0,0,4.57810605,527.29228498,1847,306,43.3,127629761.154458,51487.5618959086
3121,37,119,003015,3,371190030153,Block Group 3,"Block Group 3, Census Tract 30.15, Mecklenburg County, North Carolina",995,347,347,0,0.92665037,757,22,9,207,0,0,0,36,347,16,199,131,459,206,51,118,76,80,22,0,0,0.49952194,1991.90449973,1159,40,44.5,13925816.8234455,15813.9266530312
3122,37,119,005717,1,371190057171,Block Group 1,"Block Group 1, Census Tract 57.17, Mecklenburg County, North Carolina",2287,1068,1077,0.00835655,0.19158076,816,893,21,228,0,286,43,403,1068,0,654,553,1006,74,500,266,173,80,49,0,0,0.25449069,8986.57628694,1985,505,33.8,7094764.87857168,13300.2347802953
3123,37,119,005620,2,371190056202,Block Group 2,"Block Group 2, Census Tract 56.20, Mecklenburg County, North Carolina",5480,1484,1596,0.07017544,0.72859327,1837,2574,166,537,0,152,214,410,1484,5,1719,1148,2070,543,233,400,312,200,101,181,57,2.11490129,2591.13748046,2096,2204,31.9,58959828.1946586,37005.5141495023
